Символ;Вес_1;Вес_2;Вес_3;Вес_4;Удельный_вес_1;Удельный_вес_2;Удельный_вес_3;Удельный_вес_4;X_c;Y_c;X_norm;Y_norm;I_x;I_y;I_x_norm;I_y_norm
a;4;0;133;0;0.005917159763313609;0.0;0.19674556213017752;0.0;11.824817518248175;36.70802919708029;0.22740033688938796;0.7059236384053903;5398.32116788321;4453.795620437957;1.9964205502526666;1.6471137649548657
b;65;0;154;0;0.09615384615384616;0.0;0.22781065088757396;0.0;10.529680365296803;29.899543378995435;0.20249385317878468;0.5749912188268353;17515.7899543379;9962.55707762557;6.477732971278809;3.6843776174650777
c;4;0;100;0;0.005917159763313609;0.0;0.14792899408284024;0.0;8.807692307692308;36.72115384615385;0.16937869822485208;0.7061760355029586;4526.913461538461;2984.1538461538457;1.674154386663632;1.103607191624943
d;51;0;142;0;0.07544378698224852;0.0;0.21005917159763313;0.0;14.316062176165802;31.430051813471504;0.27530888800318853;0.6044240733359905;18147.30569948187;9749.720207253886;6.711281693595366;3.6056657571205197
e;5;0;109;0;0.0073964497041420114;0.0;0.16124260355029585;0.0;10.210526315789474;36.19298245614035;0.19635627530364375;0.6960188933873144;4821.754385964911;3428.947368421053;1.7831931900757807;1.2681018374338213
f;56;0;76;0;0.08284023668639054;0.0;0.11242603550295859;0.0;9.469696969696969;29.78787878787879;0.1821095571095571;0.5728438228438228;15576.060606060606;2008.8787878787878;5.760377443069751;0.7429285458131611
g;3;0;139;0;0.004437869822485207;0.0;0.20562130177514792;0.0;13.133802816901408;37.309859154929576;0.25257313109425783;0.7174972914409534;8810.3661971831;5708.457746478874;3.2582715226268864;2.111116030502542
h;51;0;165;0;0.07544378698224852;0.0;0.2440828402366864;0.0;11.800925925925926;32.592592592592595;0.22694088319088318;0.6267806267806268;20544.148148148146;9554.439814814814;7.597687924611001;3.5334466770764843
i;13;0;76;0;0.019230769230769232;0.0;0.11242603550295859;0.0;6.943820224719101;33.82022471910113;0.13353500432152116;0.6503889369057909;8789.123595505618;186.7191011235955;3.2504155308822553;0.06905292201316401
j;14;0;80;0;0.020710059171597635;0.0;0.11834319526627218;0.0;6.914893617021277;34.56382978723404;0.13297872340425532;0.6646890343698855;10925.117021276597;83.31914893617022;4.040353927986907;0.030813294724915022
k;59;0;136;0;0.08727810650887574;0.0;0.20118343195266272;0.0;10.158974358974358;32.68205128205128;0.19536489151873765;0.6285009861932939;20838.287179487175;6494.071794871796;7.7064671521772095;2.401653770292824
l;45;0;73;0;0.06656804733727811;0.0;0.10798816568047337;0.0;6.940677966101695;30.02542372881356;0.13347457627118645;0.5774119947848761;14146.923728813557;202.58474576271183;5.231850491425132;0.07492039414301473
m;10;7;156;80;0.014792899408284023;0.010355029585798817;0.23076923076923078;0.11834319526627218;19.869565217391305;35.77075098814229;0.38210702341137126;0.6878990574642748;13468.703557312252;31986.695652173912;4.981029422082933;11.829399279650115
n;9;0;156;0;0.013313609467455622;0.0;0.23076923076923078;0.0;12.696969696969697;35.915151515151514;0.24417249417249418;0.6906759906759906;8420.812121212122;7668.848484848484;3.1142056661287434;2.8361126053433745
o;4;0;121;0;0.005917159763313609;0.0;0.17899408284023668;0.0;12.472;35.104;0.23984615384615385;0.675076923076923;3729.648;7435.152;1.3793076923076923;2.7496863905325446
p;11;0;180;0;0.016272189349112426;0.0;0.26627218934911245;0.0;11.146596858638743;35.544502617801044;0.2143576318968989;0.6835481272654047;10945.371727748692;9413.895287958116;4.047844573871558;3.481470150872084
q;6;0;159;0;0.008875739644970414;0.0;0.23520710059171598;0.0;13.248484848484848;37.29090909090909;0.25477855477855477;0.7171328671328671;8318.036363636364;8754.81212121212;3.076196880043034;3.2377263761879145
r;7;0;87;0;0.010355029585798817;0.0;0.128698224852071;0.0;7.180851063829787;34.808510638297875;0.13809328968903437;0.6693944353518823;5254.553191489364;1005.9255319148936;1.9432519199294984;0.37201388014604053
s;4;0;85;0;0.005917159763313609;0.0;0.1257396449704142;0.0;9.786516853932584;35.79775280898876;0.18820224719101122;0.6884183232497839;2880.3595505617977;2018.943820224719;1.0652217272787714;0.7466508210890234
t;28;0;66;0;0.04142011834319527;0.0;0.09763313609467456;0.0;6.382978723404255;32.265957446808514;0.12274959083469722;0.6204991816693946;6128.351063829786;244.2127659574468;2.26640202064711;0.09031537202568299
u;22;0;165;0;0.03254437869822485;0.0;0.2440828402366864;0.0;12.770053475935828;34.50267379679144;0.2455779514603044;0.6635129576306047;8452.748663101604;8809.11229946524;3.1260165174192323;3.2578078030566715
v;24;0;72;0;0.03550295857988166;0.0;0.10650887573964497;0.0;10.791666666666666;32.197916666666664;0.20753205128205127;0.6191907051282051;4175.239583333333;2621.833333333333;1.5440974790433923;0.9696129191321498
w;29;9;117;14;0.042899408284023666;0.013313609467455622;0.17307692307692307;0.020710059171597635;16.76923076923077;32.43195266272189;0.32248520710059175;0.6236913973600363;7105.467455621301;12526.0;2.627761632996043;4.632396449704142
x;24;0;106;0;0.03550295857988166;0.0;0.15680473372781065;0.0;12.146153846153846;35.03076923076923;0.2335798816568047;0.6736686390532545;8293.876923076921;4042.223076923077;3.0672621756941276;1.4949049840691853
y;23;0;86;0;0.034023668639053255;0.0;0.12721893491124261;0.0;11.155963302752294;33.08256880733945;0.2145377558221595;0.6362032462949894;5612.256880733945;3106.348623853211;2.0755387872536777;1.1487975679930513
z;25;0;92;0;0.03698224852071006;0.0;0.13609467455621302;0.0;11.222222222222221;34.85470085470085;0.2158119658119658;0.6702827087442471;7870.529914529911;3216.222222222222;2.910698932888281;1.189431295200526
